Movie_name,Release_Year,Time_duration,Imdb_Rating,Movie_Description,Imdb_Votes,Meta_score
 The Nightmare Before Christmas,1993,1h 16m,7.9,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.",394000.0,86.0
 Goldfinger,1964,1h 50m,7.7,"While investigating a gold magnate's smuggling, James Bond uncovers a plot to contaminate the Fort Knox gold reserve.",209000.0,83.0
 Death Proof,2007,2h 7m,7.0,"Two separate sets of voluptuous women are stalked at different times by a scarred stuntman who uses his ""death proof"" cars to execute his murderous plans.",324000.0,90.0
 Argo,2012,2h,7.7,"Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979.",651000.0,79.0
 Milk,2008,2h 8m,7.5,"The story of American gay activist Harvey Milk, who fought for gay rights and was elected as California's first openly gay official.",183000.0,74.0
 Being John Malkovich,1999,1h 53m,7.7,A puppeteer discovers a portal that leads literally into the head of movie star John Malkovich.,362000.0,87.0
 Black Swan,2010,1h 48m,8.0,"Nina is a talented but unstable ballerina on the verge of stardom. Pushed to the breaking point by her artistic director and a seductive rival, Nina's grip on reality slips, plunging her into a waking nightmare.",856000.0,71.0
 The Others,2001,1h 44m,7.6,"In 1945, immediately following the end of Second World War, a woman who lives with her two photosensitive children on her darkened old family estate in the Channel Islands becomes convinced that the home is haunted.",409000.0,62.0
 Brokeback Mountain,2005,2h 14m,7.7,"Two shepherds fall for each other, but their relationship becomes complicated when they both get married to their respective girlfriends.",400000.0,80.0
 Collateral,2004,2h,7.5,A cab driver finds himself the hostage of an engaging contract killer as he makes his rounds from hit to hit during one night in Los Angeles.,448000.0,92.0
 Jackie Brown,1997,2h 34m,7.5,"A flight attendant with a criminal past gets nabbed by the ATF for smuggling. Under pressure to become an informant against the illegal arms dealer she works for, she must find a way to secure her future without getting killed.",389000.0,78.0
