,Movie_name,movie_type,Director,Actors,Movie_Description,Release_Year,Time_duration'M',Imdb_Rating,Imdb_votes,Meta_score,Decade
47, Kill Bill: Vol,R,Quentin Tarantino,Uma ThurmanDavid CarradineDaryl Hannah,"After waking from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",2003,111,8.2,1200000,69.0,2000
48, Avanti!,R,Billy Wilder,Jack LemmonJuliet MillsClive Revill,A successful businessman goes to Italy to arrange for the return of his tycoon father's body--and discovers that Dad died with his long-time mistress.,1972,144,7.2,12000,90.0,1970
49," The Good, the Bad and the Ugly",R,Sergio Leone,Clint EastwoodEli WallachLee Van Cleef,A bounty-hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,1966,120,8.8,850000,78.42,1960
50, Amélie,R,Jean-Pierre Jeunet,Audrey TautouMathieu KassovitzRufus,"Despite being caught in her imaginative world, young waitress Amelie decides to help people find happiness. Her quest to spread joy leads her on a journey during which she finds true love.",2001,122,8.3,817000,70.0,2000
51, Modern Times,G,Charles Chaplin,Charles ChaplinPaulette GoddardHenry Bergman,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,1936,87,8.5,272000,96.0,1930
52, Lost in Translation,R,Sofia Coppola,Bill MurrayScarlett JohanssonGiovanni Ribisi,A fading movie star falls for a lonely young woman in Tokyo.,2003,102,7.7,510000,91.0,2000
53, Full Metal Jacket,R,Stanley Kubrick,Matthew ModineR. Lee ErmeyVincent D'Onofrio,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,1987,116,8.2,820000,78.0,1980
54, Requiem for a Dream,NC-17,Darren Aronofsky,Ellen BurstynJared LetoJennifer Connelly,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,2000,102,8.3,936000,71.0,2000
55, Fight Club,R,David Fincher,Brad PittEdward NortonMeat Loaf,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,1999,139,8.8,323500,67.0,1990
56, No Country for Old Men,R,sEthan CoenJoel Coen,Tommy Lee JonesJavier BardemJosh Brolin,Violence and mayhem ensue after a hunter stumbles upon the aftermath of a drug deal gone wrong and over two million dollars in cash near the Rio Grande.,2007,122,8.2,1100000,92.0,2000
57, Django Unchained,R,Quentin Tarantino,Jamie FoxxChristoph WaltzLeonardo DiCaprio,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.",2012,165,8.5,323500,81.0,2010
58, Children of Men,R,Alfonso Cuarón,Julianne MooreClive OwenChiwetel Ejiofor,"In 2027, in a chaotic world in which women have somehow become infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea.",2006,109,7.9,547000,84.0,2000
59, Ratatouille,G,sBrad BirdJan Pinkava,Brad GarrettLou RomanoPatton Oswalt,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.,2007,111,8.1,882000,96.0,2000
60, The Lives of Others,R,Florian Henckel von Donnersmarck,Ulrich MüheMartina GedeckSebastian Koch,"In 1984 East Berlin, an agent of the secret police conducting surveillance on a writer and his lover finds himself becoming increasingly absorbed by their lives.",2006,137,8.4,427000,89.0,2000
61, The Prestige,PG-13,Christopher Nolan,Christian BaleHugh JackmanScarlett Johansson,Rival 19th-century magicians engage in a bitter battle for trade secrets.,2006,130,8.5,1500000,66.0,2000
62, V for Vendetta,R,James McTeigue,Hugo WeavingNatalie PortmanRupert Graves,"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman.",2005,132,8.1,1200000,62.0,2000
63, Chinatown,R,Roman Polanski,Jack NicholsonFaye DunawayJohn Huston,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.",1974,130,8.1,364000,92.0,1970
